ID,Nom,Année de sortie,Classification,Durée,Genre,Note,Nombre de votant,Revenus
661,Hedwig and the Angry Inch,(2001),Tous publics,95 min,"Comedy, Drama, Music","7,7",36 445,$3.03M
662,Noël chez les Muppets,(1992),Tous Public,85 min,"Comedy, Drama, Family","7,7",64 070,$27.28M
663,La petite sirène,(1989),Tous publics,83 min,"Animation, Adventure, Family","7,6",272 226,$111.54M
664,Vaiana : La Légende du bout du monde,(I) (2016),Tous publics,107 min,"Animation, Adventure, Comedy","7,6",350 390,$248.76M
665,Pinocchio,(2022),7,117 min,"Animation, Drama, Family","7,6",,
666,Moulin Rouge,(2001),Tous publics,127 min,"Drama, Musical, Romance","7,6",290 981,$57.39M
667,Mulan,(1998),Tous publics,87 min,"Animation, Adventure, Comedy","7,6",298 339,$120.62M
668,West Side Story,(1961),Tous publics,153 min,"Crime, Drama, Musical","7,6",117 273,$43.66M
669,Le Livre de la jungle,(1967),Tous publics,78 min,"Animation, Adventure, Comedy","7,6",189 595,$141.84M
670,Blanche-Neige et les sept nains,(1937),Tous publics,83 min,"Animation, Adventure, Family","7,6",205 581,$184.93M
671,Les Muppets : Ça c'est du cinéma !,(1979),Tous Public,95 min,"Adventure, Comedy, Family","7,6",37 481,$76.66M
672,Baazigar,(1993),,175 min,"Crime, Drama, Musical","7,6",,
673,The Greatest Showman,(2017),Tous publics,105 min,"Biography, Drama, Musical","7,5",292 133,$174.34M
674,Les Misérables,(2012),Tous publics,158 min,"Drama, Musical, Romance","7,5",336 102,$148.81M
675,"tick, tick... Boom!",(2021),13,120 min,"Biography, Comedy, Drama","7,5",,
676,Robin des Bois,(1973),Tous publics,83 min,"Animation, Adventure, Comedy","7,5",132 208,$32.06M
677,Hair,(1979),Tous publics,121 min,"Comedy, Drama, Musical","7,5",38 781,$15.28M
678,Pinocchio,(1940),Tous publics,88 min,"Animation, Adventure, Comedy","7,5",152 467,$84.25M
679,"Monty Python, le sens de la vie",(1983),Tous publics,107 min,"Comedy, Musical","7,5",122 294,$14.93M
680,Les aventures de Winnie l'ourson,(1977),Tous Public,74 min,"Animation, Adventure, Comedy","7,5",,
681,Aynabaji,(2016),,147 min,"Crime, Mystery, Thriller","9,0",,
682,Jai Bhim,(2021),,164 min,"Crime, Drama, Mystery","8,8",,
683,La ligne verte,(1999),12,189 min,"Crime, Drama, Fantasy","8,6",1 332 120,$136.80M
684,Seven,(1995),12,127 min,"Crime, Drama, Mystery","8,6",1 693 649,$100.13M
685,Le voyage de Chihiro,(2001),Tous publics,125 min,"Animation, Adventure, Family","8,6",787 478,$10.06M
686,Harakiri,(1962),Tous publics,133 min,"Action, Drama, Mystery","8,6",,
687,Sita Ramam,(2022),,163 min,"Action, Drama, Mystery","8,6",,
688,Le Prestige,(2006),Tous publics,130 min,"Drama, Mystery, Sci-Fi","8,5",1 361 706,$53.09M
689,Usual Suspects,(1995),Tous publics,106 min,"Crime, Drama, Mystery","8,5",1 102 763,$23.34M
690,Psychose,(1960),18,109 min,"Horror, Mystery, Thriller","8,5",686 325,$32.00M
691,Fenêtre sur cour,(1954),Tous publics,112 min,"Mystery, Thriller","8,5",501 078,$36.76M
692,Old Boy,(2003),16,120 min,"Action, Drama, Mystery","8,4",594 853,$0.71M
693,Apocalypse Now,(1979),Tous publics avec avertissement,147 min,"Drama, Mystery, War","8,4",681 059,$83.47M
694,Memento,(2000),Tous publics,113 min,"Mystery, Thriller","8,4",1 261 320,$25.54M
695,Coco,(I) (2017),Tous publics,105 min,"Animation, Adventure, Comedy","8,4",531 894,$209.73M
696,La vie des autres,(2006),Tous publics,137 min,"Drama, Mystery, Thriller","8,4",396 157,$11.29M
697,Témoin à charge,(1957),Tous publics,116 min,"Crime, Drama, Mystery","8,4",129 227,$8.18M
698,Entre le ciel et l'enfer,(1963),Tous publics,143 min,"Crime, Drama, Mystery","8,4",,
699,Incendies,(2010),Tous publics avec avertissement,131 min,"Drama, Mystery","8,3",183 402,$6.86M
700,Sueurs froides,(1958),Tous publics,128 min,"Mystery, Romance, Thriller","8,3",410 288,$3.20M
701,Citizen Kane,(1941),Tous publics,119 min,"Drama, Mystery","8,3",449 990,$1.59M
702,La mort aux trousses,(1959),Tous publics,136 min,"Action, Adventure, Mystery","8,3",334 096,$13.28M
703,M le maudit,(1931),Tous publics,118 min,"Crime, Mystery, Thriller","8,3",161 461,$0.03M
704,Assurance sur la mort,(1944),Tous publics,107 min,"Crime, Drama, Film-Noir","8,3",160 581,$5.72M
705,Ratsasan,(2018),,170 min,"Action, Crime, Drama","8,3",,
706,Shutter Island,(2010),12,138 min,"Mystery, Thriller","8,2",1 357 010,$128.01M
707,The Father,(I) (2020),Tous publics,97 min,"Drama, Mystery","8,2",,
708,The Thing,(1982),13,109 min,"Horror, Mystery, Sci-Fi","8,2",437 594,$13.78M
709,Sixième sens,(1999),12,107 min,"Drama, Mystery, Thriller","8,2",1 009 540,$293.51M
710,Chinatown,(1974),12,130 min,"Drama, Mystery, Thriller","8,2",334 131,$8.49M
711,L.A. Confidential,(1997),Tous publics,138 min,"Crime, Drama, Mystery","8,2",592 351,$64.62M
712,Dans ses yeux,(2009),Tous publics,129 min,"Drama, Mystery, Romance","8,2",213 796,$6.39M
713,Drishyam 2,(2022),13,140 min,"Crime, Drama, Mystery","8,2",,
714,Rashomon,(1950),Tous Public,88 min,"Crime, Drama, Mystery","8,2",172 437,$0.10M
715,Drishyam,(2015),18,163 min,"Crime, Drama, Mystery","8,2",88 293,$0.74M
716,Andhadhun,(2018),,139 min,"Crime, Mystery, Thriller","8,2",96 902,$1.37M
717,Prisoners,(2013),12,153 min,"Crime, Drama, Mystery","8,1",743 369,$61.00M
718,Les Dents de la mer,(1975),13,124 min,"Adventure, Mystery, Thriller","8,1",622 341,$260.00M
719,Gone Girl,(2014),Tous publics avec avertissement,149 min,"Drama, Mystery, Thriller","8,1",1 006 594,$167.77M
720,Harry Potter et les Reliques de la Mort : partie 2,(2011),Tous publics,130 min,"Adventure, Family, Fantasy","8,1",898 557,$381.01M
721,Memories of Murder,(2003),Tous publics,131 min,"Crime, Drama, Mystery","8,1",195 037,$0.01M
722,Le troisième homme,(1949),Tous publics,104 min,"Film-Noir, Mystery, Thriller","8,1",175 143,$0.45M
723,Rebecca,(1940),Tous publics,130 min,"Drama, Film-Noir, Mystery","8,1",140 583,$4.36M
724,Trois couleurs: Rouge,(1994),Tous publics,99 min,"Drama, Mystery, Romance","8,1",106 166,$4.04M
725,Les diaboliques,(1955),Tous publics,117 min,"Crime, Drama, Horror","8,1",67 298,$1.09M
726,The Tashkent Files,(2019),,134 min,"Drama, Mystery, Thriller","8,1",,
727,A Wednesday,(2008),,104 min,"Action, Crime, Drama","8,1",,
728,Guilty,(2015),,132 min,"Crime, Drama, Mystery","8,1",36 414,$0.34M
729,Article 15,(2019),,130 min,"Crime, Drama, Mystery","8,1",,
730,Kahaani,(2012),,122 min,"Mystery, Thriller","8,1",63 966,$1.04M
731,Forrest Gump,(1994),Tous publics,142 min,"Drama, Romance","8,8",2 131 456,$330.25M
732,La vie est belle,(1997),Tous publics,116 min,"Comedy, Drama, Romance","8,6",709 849,$57.60M
733,La vie est belle,(1946),Tous publics,130 min,"Drama, Family, Fantasy","8,6",,
734,Sita Ramam,(2022),,163 min,"Action, Drama, Mystery","8,6",,
735,Casablanca,(1942),Tous publics,102 min,"Drama, Romance, War","8,5",582 530,$1.02M
736,Cinéma Paradiso,(1988),Tous publics,155 min,"Drama, Romance","8,5",267 863,$11.99M
737,Les temps modernes,(1936),Tous publics,87 min,"Comedy, Drama, Romance","8,5",247 883,$0.16M
738,Les lumières de la ville,(1931),Tous publics,87 min,"Comedy, Drama, Romance","8,5",188 279,$0.02M
739,96,(II) (2018),Tous Public,158 min,"Drama, Romance","8,5",,
740,Your Name.,(2016),Tous publics,106 min,"Animation, Drama, Fantasy","8,4",285 185,$5.02M
741,Dil Bechara,(2020),,101 min,"Comedy, Drama, Romance","8,4",,
742,Will Hunting,(1997),Tous publics,126 min,"Drama, Romance","8,3",1 001 167,$138.43M
743,Eternal Sunshine of the Spotless Mind,(2004),Tous publics,108 min,"Drama, Romance, Sci-Fi","8,3",1 029 459,$34.40M
744,Chantons sous la pluie,(1952),Tous publics,103 min,"Comedy, Musical, Romance","8,3",248 483,$8.82M
745,Le fabuleux destin d'Amélie Poulain,(2001),Tous publics,122 min,"Comedy, Romance","8,3",768 701,$33.23M
746,Sueurs froides,(1958),Tous publics,128 min,"Mystery, Romance, Thriller","8,3",410 288,$3.20M
747,La garçonnière,(1960),Tous publics,125 min,"Comedy, Drama, Romance","8,3",186 259,$18.60M
748,Chhichhore,(2019),,143 min,"Comedy, Drama, Romance","8,3",57 577,$0.90M
749,Autant en emporte le vent,(1939),Tous publics,238 min,"Drama, Romance, War","8,2",321 986,$198.68M
750,Certains l'aiment chaud,(1959),12,121 min,"Comedy, Music, Romance","8,2",272 709,$25.00M
751,Dans ses yeux,(2009),Tous publics,129 min,"Drama, Mystery, Romance","8,2",213 796,$6.39M
752,On ne vit qu'une seule fois,(2011),,155 min,"Comedy, Drama, Musical","8,2",81 196,$3.11M
753,Jeu dangereux,(1942),Tous publics,99 min,"Comedy, Romance, War","8,2",,
754,Sherlock Junior,(1924),Tous publics,45 min,"Action, Comedy, Romance","8,2",52 260,$0.98M
755,Mademoiselle,(2016),12 avec avertissement,145 min,"Drama, Romance, Thriller","8,1",156 411,$2.01M
756,Before Sunrise,(1995),Tous publics,101 min,"Drama, Romance","8,1",319 588,$5.54M
757,La mélodie du bonheur,(1965),Tous publics,172 min,"Biography, Drama, Family","8,1",244 080,$163.21M
758,In the Mood for Love,(2000),Tous publics,98 min,"Drama, Romance","8,1",156 350,$2.73M
759,Before Sunset,(2004),Tous publics,80 min,"Drama, Romance","8,1",273 238,$5.82M
760,Rebecca,(1940),Tous publics,130 min,"Drama, Film-Noir, Mystery","8,1",140 583,$4.36M
761,Trois couleurs: Rouge,(1994),Tous publics,99 min,"Drama, Mystery, Romance","8,1",106 166,$4.04M
762,New York - Miami,(1934),Tous publics,105 min,"Comedy, Romance","8,1",107 051,$4.36M
763,Les Plus Belles Années de notre vie,(1946),Tous publics,170 min,"Drama, Romance, War","8,1",66 955,$23.65M
764,Une femme sous influence,(1974),Tous publics,155 min,"Drama, Romance","8,1",26 695,$13.34M
765,Les fraises sauvages,(1957),Tous publics,91 min,"Drama, Romance","8,1",,
766,Les chaussons rouges,(1948),Tous Public,135 min,"Drama, Music, Romance","8,1",36 752,$10.90M
767,"Adieu, ma concubine",(1993),Tous publics,171 min,"Drama, Music, Romance","8,1",30 739,$5.22M
768,Yi yi,(2000),Tous publics,173 min,"Drama, Romance","8,1",26 146,$1.14M
769,Barfi!,(2012),,151 min,"Comedy, Drama, Romance","8,1",83 908,$2.80M
770,Dil Chahta Hai,(2001),Tous publics,183 min,"Comedy, Drama, Romance","8,1",73 723,$0.30M
771,La ruée vers l'or,(1925),Tous publics,95 min,"Adventure, Comedy, Drama","8,1",113 713,$5.45M
772,L'aurore,(1927),Tous publics,94 min,"Drama, Romance","8,1",52 279,$0.54M
773,Épouses et concubines,(1991),Tous Public,125 min,"Drama, Romance","8,1",33 881,$2.60M
774,Le cirque,(1928),Tous publics,72 min,"Comedy, Family, Romance","8,1",,
775,Princess Bride,(1987),Tous publics,98 min,"Adventure, Comedy, Family","8,0",435 489,$30.86M
776,Her,(2013),Tous publics,126 min,"Drama, Romance, Sci-Fi","8,0",634 464,$25.57M
777,La La Land,(2016),Tous publics,128 min,"Comedy, Drama, Music","8,0",613 707,$151.10M
778,Le lauréat,(1967),Tous publics,106 min,"Comedy, Drama, Romance","8,0",279 608,$104.95M
779,Big Fish,(2003),Tous Public,125 min,"Adventure, Drama, Fantasy","8,0",447 774,$66.26M
780,Aladdin,(1992),Tous publics,90 min,"Animation, Adventure, Comedy","8,0",435 318,$217.35M
781,Inception,(2010),Tous publics,148 min,"Action, Adventure, Sci-Fi","8,8",2 407 554,$292.58M
782,Matrix,(1999),Tous publics avec avertissement,136 min,"Action, Sci-Fi","8,7",1 953 794,$171.48M
783,L'Empire contre-attaque,(1980),Tous publics,124 min,"Action, Adventure, Fantasy","8,7",1 318 505,$290.48M
784,Interstellar,(2014),Tous publics,169 min,"Adventure, Drama, Sci-Fi","8,6",1 903 425,$188.02M
785,Star Wars: Épisode IV - Un nouvel espoir,(1977),Tous publics,121 min,"Action, Adventure, Fantasy","8,6",1 391 036,$322.74M
786,Terminator 2 : Le jugement dernier,(1991),12,137 min,"Action, Sci-Fi","8,6",1 121 010,$204.84M
787,Retour vers le futur,(1985),Tous publics,116 min,"Adventure, Comedy, Sci-Fi","8,5",1 235 665,$210.61M
788,Alien - Le 8ème passager,(1979),12,117 min,"Horror, Sci-Fi","8,5",901 600,$78.90M
789,Le Prestige,(2006),Tous publics,130 min,"Drama, Mystery, Sci-Fi","8,5",1 361 706,$53.09M
790,Avengers: Endgame,(2019),Tous publics,181 min,"Action, Adventure, Drama","8,4",1 175 410,$858.37M
791,Spider-Man: New Generation,(2018),Tous publics,117 min,"Animation, Action, Adventure","8,4",560 624,$190.24M
792,Avengers: Infinity War,(2018),Tous publics,149 min,"Action, Adventure, Sci-Fi","8,4",1 119 126,$678.82M
793,Aliens : Le Retour,(1986),13,137 min,"Action, Adventure, Sci-Fi","8,4",731 338,$85.16M
794,WALL·E,(2008),Tous publics,98 min,"Animation, Adventure, Family","8,4",1 140 441,$223.81M
795,Les Gardiens de la Galaxie 3,(2023),Tous publics,150 min,"Action, Adventure, Comedy","8,3",,
796,Le Retour du Jedi,(1983),Tous publics,131 min,"Action, Adventure, Fantasy","8,3",1 075 490,$309.13M
797,Eternal Sunshine of the Spotless Mind,(2004),Tous publics,108 min,"Drama, Romance, Sci-Fi","8,3",1 029 459,$34.40M
798,Orange mécanique,(1971),18,136 min,"Crime, Sci-Fi","8,3",846 488,$6.21M
799,2001 : L'Odyssée de l'espace,(1968),Tous publics,149 min,"Adventure, Sci-Fi","8,3",684 023,$56.95M
800,Metropolis,(1927),Tous publics,153 min,"Drama, Sci-Fi","8,3",178 006,$1.24M
801,Spider-Man: No Way Home,(2021),Tous publics,148 min,"Action, Adventure, Fantasy","8,2",792 747,$804.75M
802,Jurassic Park,(1993),Tous publics,127 min,"Action, Adventure, Sci-Fi","8,2",1 011 906,$402.45M
803,The Thing,(1982),13,109 min,"Horror, Mystery, Sci-Fi","8,2",437 594,$13.78M
804,V pour vendetta,(2005),Tous publics avec avertissement,132 min,"Action, Drama, Sci-Fi","8,2",1 139 284,$70.51M
805,Mad Max: Fury Road,(2015),Tous publics avec avertissement,120 min,"Action, Adventure, Sci-Fi","8,1",1 027 808,$154.06M
806,Blade Runner,(1982),Tous publics avec avertissement,117 min,"Action, Drama, Sci-Fi","8,1",786 477,$32.87M
807,Terminator,(1984),13,107 min,"Action, Sci-Fi","8,1",883 784,$38.40M
808,Logan,(2017),12 avec avertissement,137 min,"Action, Drama, Sci-Fi","8,1",785 463,$226.28M
809,Stalker,(1979),Tous publics,162 min,"Drama, Sci-Fi","8,1",138 179,$0.23M
810,Le géant de fer,(1999),Tous publics,86 min,"Animation, Action, Adventure","8,1",208 262,$23.16M
811,Neon Genesis Evangelion: The End of Evangelion,(1997),12,87 min,"Animation, Action, Drama","8,1",,
812,P.K.,(2014),13,153 min,"Comedy, Drama, Sci-Fi","8,1",192 808,$10.62M
813,Les Gardiens de la Galaxie,(2014),Tous publics,121 min,"Action, Adventure, Comedy","8,0",1 210 344,$333.18M
814,Dune,(2021),Tous publics,155 min,"Action, Adventure, Drama","8,0",672 576,$108.33M
815,Blade Runner 2049,(2017),Tous publics avec avertissement,164 min,"Action, Drama, Mystery","8,0",601 481,$92.05M
816,Avengers,(2012),Tous publics,143 min,"Action, Sci-Fi","8,0",1 413 659,$623.28M
817,Her,(2013),Tous publics,126 min,"Drama, Romance, Sci-Fi","8,0",634 464,$25.57M
818,Seul sur Mars,(2015),Tous publics,144 min,"Adventure, Drama, Sci-Fi","8,0",877 454,$228.43M
819,Zack Snyder's Justice League,(2021),12,242 min,"Action, Adventure, Fantasy","8,0",,
820,Donnie Darko,(2001),Tous publics,113 min,"Drama, Mystery, Sci-Fi","8,0",818 238,$1.48M
821,L'Armée des 12 singes,(1995),Tous publics avec avertissement,129 min,"Mystery, Sci-Fi, Thriller","8,0",628 655,$57.14M
822,La Planète des singes,(1968),13,112 min,"Adventure, Sci-Fi","8,0",184 979,$33.40M
823,Akira,(1988),12,124 min,"Animation, Action, Drama","8,0",193 128,$0.55M
824,Nausicaä de la vallée du vent,(1984),Tous publics,117 min,"Animation, Adventure, Sci-Fi","8,0",173 730,$0.50M
825,Solaris,(1972),Tous publics,167 min,"Drama, Mystery, Sci-Fi","8,0",,
826,G.O.R.A.,(2004),,127 min,"Adventure, Comedy, Sci-Fi","8,0",,
827,Everything Everywhere All at Once,(2022),Tous publics,139 min,"Action, Adventure, Comedy","7,9",442 867,$72.86M
828,Avatar,(2009),Tous publics,162 min,"Action, Adventure, Fantasy","7,9",1 340 381,$760.51M
829,Iron Man,(2008),Tous publics,126 min,"Action, Adventure, Sci-Fi","7,9",1 080 319,$318.41M
830,Premier contact,(II) (2016),Tous publics,116 min,"Drama, Mystery, Sci-Fi","7,9",717 109,$100.55M
831,Dangal,(2016),Tous publics,161 min,"Action, Biography, Drama","8,3",196 875,$12.39M
832,Warrior,(2011),Tous publics,140 min,"Action, Drama, Sport","8,2",481 185,$13.66M
833,Les enfants du ciel,(1997),Tous publics,89 min,"Drama, Family, Sport","8,2",76 569,$0.93M
834,Bhaag Milkha Bhaag,(2013),,186 min,"Biography, Drama, Sport","8,2",69 701,$1.63M
835,Paan Singh Tomar,(2012),,135 min,"Action, Biography, Crime","8,2",37 009,$0.04M
836,Le Mans '66,(2019),Tous publics,152 min,"Action, Biography, Drama","8,1",416 288,$117.62M
837,Rocky,(1976),Tous publics,120 min,"Drama, Sport","8,1",597 048,$117.24M
838,Million Dollar Baby,(2004),Tous publics,132 min,"Drama, Sport","8,1",699 106,$100.49M
839,Rush,(I) (2013),Tous publics,123 min,"Action, Biography, Drama","8,1",490 232,$26.95M
840,Raging Bull,(1980),12,129 min,"Biography, Drama, Sport","8,1",362 456,$23.38M
841,Lagaan,(2001),Tous publics,224 min,"Drama, Musical, Sport","8,1",116 802,$0.07M
842,Chak De! India,(2007),,153 min,"Drama, Family, Sport","8,1",82 160,$1.11M
843,De l'ombre à la lumière,(2005),Tous publics,144 min,"Biography, Drama, Romance","8,0",192 108,$61.65M
844,L'Arnaqueur,(1961),Tous publics,134 min,"Drama, Sport","8,0",84 062,$8.28M
845,The Wrestler,(2008),Tous publics,109 min,"Drama, Sport","7,9",312 633,$26.24M
846,M.S. Dhoni: The Untold Story,(2016),,184 min,"Biography, Drama, Sport","7,9",62 747,$1.78M
847,Le plus beau des combats,(2000),Tous publics,113 min,"Biography, Drama, Sport","7,8",221 897,$115.65M
848,Le gang des champions,(1993),Tous publics,101 min,"Comedy, Drama, Family","7,8",96 239,$32.42M
849,Fighter,(I) (2010),Tous publics,116 min,"Action, Biography, Drama","7,8",376 518,$93.62M
850,Burt Munro,(2005),Tous Public,127 min,"Biography, Drama, Sport","7,8",56 414,$5.13M
851,Kai po che!,(2013),,130 min,"Drama, Sport","7,8",37 802,$1.12M
852,Les triplettes de Belleville,(2003),Tous publics,80 min,"Animation, Adventure, Comedy","7,7",55 670,$7.00M
853,Air,(2023),R,111 min,"Drama, Sport","7,6",,
854,Le stratège,(2011),Tous publics,133 min,"Biography, Drama, Sport","7,6",438 279,$75.61M
855,The Blind Side,(2009),Tous publics,129 min,"Biography, Drama, Sport","7,6",343 553,$255.96M
856,Creed: L'héritage de Rocky Balboa,(II) (2015),Tous publics,133 min,"Action, Drama, Sport","7,6",295 913,$109.77M
857,Hurricane Carter,(1999),Tous publics,146 min,"Biography, Drama, Sport","7,6",99 434,$50.67M
858,"Moi, Tonya",(2017),Tous publics,119 min,"Biography, Comedy, Drama","7,5",226 695,$30.01M
859,Jusqu'au bout du rêve,(1989),Tous Public,107 min,"Drama, Family, Fantasy","7,5",122 661,$64.43M
860,42,(2013),Tous publics,128 min,"Biography, Drama, Sport","7,5",98 408,$95.00M
861,The Art of Racing in the Rain,(2019),Tous Public,109 min,"Comedy, Drama, Romance","7,5",34 056,$25.50M
862,La Méthode Williams,(2021),Tous publics,144 min,"Biography, Drama, Sport","7,5",,
863,Waves,(I) (2019),Tous publics,135 min,"Drama, Romance, Sport","7,5",,
864,Le Grand Bleu,(1988),Tous publics,168 min,"Adventure, Drama, Sport","7,5",53 102,$3.50M
865,Rudy,(1993),PG,114 min,"Biography, Drama, Sport","7,5",65 955,$22.75M
866,'83,(2021),,162 min,"Biography, Drama, History","7,5",,
867,The Damned United,(2009),R,98 min,"Biography, Drama, Sport","7,5",44 808,$0.45M
868,Le grand défi,(1986),Tous publics,114 min,"Drama, Sport","7,4",48 934,$28.61M
869,Hooligans,(2005),16,109 min,"Crime, Drama, Sport","7,4",155 461,$0.34M
870,Les Nageuses,(2022),16,134 min,"Biography, Drama, Sport","7,4",,
871,Le grand jeu,(2017),Tous publics,140 min,"Biography, Crime, Drama","7,4",178 899,$28.78M
872,Miracle,(2004),Tous Public,135 min,"Biography, Drama, History","7,4",56 415,$64.38M
873,Le meilleur,(1984),Tous publics,138 min,"Drama, Sport","7,4",50 675,$47.95M
874,"McFarland, USA",(2015),PG,129 min,"Biography, Drama, Sport","7,4",40 289,$44.47M
875,Un parcours de légende,(2005),Tous publics,120 min,"Biography, Drama, Sport","7,4",31 998,$15.33M
876,À la recherche de Bobby Fischer,(1993),Tous Public,109 min,"Biography, Drama, Sport","7,4",41 127,$7.27M
877,Jhund,(2022),,176 min,"Biography, Drama, Sport","7,4",,
878,Une équipe hors du commun,(1992),Tous publics,128 min,"Comedy, Drama, Sport","7,3",114 434,$107.53M
879,Le moment de vérité,(1984),Tous publics,126 min,"Action, Drama, Family","7,3",232 609,$90.82M
880,Le haut du panier,(2022),7,117 min,"Comedy, Drama, Sport","7,3",,
881,The Dark Knight : Le Chevalier noir,(2008),Tous publics,152 min,"Action, Crime, Drama","9,0",2 712 245,$534.86M
882,Aynabaji,(2016),,147 min,"Crime, Mystery, Thriller","9,0",,
883,Inception,(2010),Tous publics,148 min,"Action, Adventure, Sci-Fi","8,8",2 407 554,$292.58M
884,Seven,(1995),12,127 min,"Crime, Drama, Mystery","8,6",1 693 649,$100.13M
885,Le Silence des agneaux,(1991),16,118 min,"Crime, Drama, Thriller","8,6",1 464 550,$130.74M
886,Léon,(1994),12,110 min,"Action, Crime, Drama","8,5",1 186 803,$19.50M
887,Parasite,(2019),Tous publics avec avertissement,132 min,"Drama, Thriller","8,5",850 664,$53.37M
888,Les infiltrés,(2006),Tous publics avec avertissement,151 min,"Crime, Drama, Thriller","8,5",1 353 433,$132.38M
889,Le Prestige,(2006),Tous publics,130 min,"Drama, Mystery, Sci-Fi","8,5",1 361 706,$53.09M
890,Usual Suspects,(1995),Tous publics,106 min,"Crime, Drama, Mystery","8,5",1 102 763,$23.34M
891,Psychose,(1960),18,109 min,"Horror, Mystery, Thriller","8,5",686 325,$32.00M
892,Fenêtre sur cour,(1954),Tous publics,112 min,"Mystery, Thriller","8,5",501 078,$36.76M
893,Joker,(I) (2019),12 avec avertissement,122 min,"Crime, Drama, Thriller","8,4",1 349 046,$335.45M
894,Old Boy,(2003),16,120 min,"Action, Drama, Mystery","8,4",594 853,$0.71M
895,Requiem pour un massacre - Va et regarde,(1985),Tous publics avec avertissement,142 min,"Drama, Thriller, War","8,4",,
896,The Dark Knight Rises,(2012),Tous publics,164 min,"Action, Drama, Thriller","8,4",1 738 272,$448.14M
897,Aliens : Le Retour,(1986),13,137 min,"Action, Adventure, Sci-Fi","8,4",731 338,$85.16M
898,Memento,(2000),Tous publics,113 min,"Mystery, Thriller","8,4",1 261 320,$25.54M
899,La vie des autres,(2006),Tous publics,137 min,"Drama, Mystery, Thriller","8,4",396 157,$11.29M
900,Témoin à charge,(1957),Tous publics,116 min,"Crime, Drama, Mystery","8,4",129 227,$8.18M
901,Kaithi,(2019),18,145 min,"Action, Adventure, Crime","8,4",,
902,Entre le ciel et l'enfer,(1963),Tous publics,143 min,"Crime, Drama, Mystery","8,4",,
903,Drishyam 2,(2021),13,152 min,"Crime, Drama, Thriller","8,4",,
904,Reservoir Dogs,(1992),16,99 min,"Crime, Thriller","8,3",1 041 006,$2.83M
905,Sueurs froides,(1958),Tous publics,128 min,"Mystery, Romance, Thriller","8,3",410 288,$3.20M
906,La mort aux trousses,(1959),Tous publics,136 min,"Action, Adventure, Mystery","8,3",334 096,$13.28M
907,M le maudit,(1931),Tous publics,118 min,"Crime, Mystery, Thriller","8,3",161 461,$0.03M
908,Assurance sur la mort,(1944),Tous publics,107 min,"Crime, Drama, Film-Noir","8,3",160 581,$5.72M
909,Kantara,(2022),,148 min,"Action, Adventure, Drama","8,3",,
910,K.G.F: Chapter 2,(2022),13,168 min,"Action, Crime, Drama","8,3",139 278,$6.60M
911,Vikram,(2022),,175 min,"Action, Crime, Thriller","8,3",,
912,Ratsasan,(2018),,170 min,"Action, Crime, Drama","8,3",,
913,Drishyam,(2013),,160 min,"Crime, Drama, Thriller","8,3",,
914,John Wick: Chapitre 4,(2023),12,169 min,"Action, Crime, Thriller","8,2",,
915,Jurassic Park,(1993),Tous publics,127 min,"Action, Adventure, Sci-Fi","8,2",1 011 906,$402.45M
916,No Country for Old Men,(2007),12,122 min,"Crime, Drama, Thriller","8,2",999 284,$74.28M
917,Shutter Island,(2010),12,138 min,"Mystery, Thriller","8,2",1 357 010,$128.01M
918,Kill Bill: Volume I,(2003),16,111 min,"Action, Crime, Drama","8,2",1 138 718,$70.10M
919,Sixième sens,(1999),12,107 min,"Drama, Mystery, Thriller","8,2",1 009 540,$293.51M
920,Piège de cristal,(1988),Tous publics,132 min,"Action, Thriller","8,2",900 035,$83.01M
921,V pour vendetta,(2005),Tous publics avec avertissement,132 min,"Action, Drama, Sci-Fi","8,2",1 139 284,$70.51M
922,Chinatown,(1974),12,130 min,"Drama, Mystery, Thriller","8,2",334 131,$8.49M
923,L.A. Confidential,(1997),Tous publics,138 min,"Crime, Drama, Mystery","8,2",592 351,$64.62M
924,"Demon Slayer - Kimetsu no Yaiba, le film : Le Train de l'Infini",(2020),Tous publics avec avertissement,117 min,"Animation, Action, Adventure","8,2",63 822,$47.70M
925,La Grande Évasion,(1963),Tous publics,172 min,"Adventure, Drama, History","8,2",249 148,$12.10M
926,Dans ses yeux,(2009),Tous publics,129 min,"Drama, Mystery, Romance","8,2",213 796,$6.39M
927,Tumbbad,(2018),,104 min,"Drama, Fantasy, Horror","8,2",,
928,Drishyam 2,(2022),13,140 min,"Crime, Drama, Mystery","8,2",,
929,Le crime était presque parfait,(1954),Tous publics,105 min,"Crime, Thriller","8,2",180 261,$0.01M
930,Le garde du corps,(1961),Tous publics,110 min,"Action, Drama, Thriller","8,2",,
931,Il faut sauver le soldat Ryan,(1998),Tous publics avec avertissement,169 min,"Drama, War","8,6",1 420 636,$216.54M
932,La vie est belle,(1997),Tous publics,116 min,"Comedy, Drama, Romance","8,6",709 849,$57.60M
933,Le pianiste,(2002),Tous publics,150 min,"Biography, Drama, Music","8,5",853 992,$32.57M
934,Casablanca,(1942),Tous publics,102 min,"Drama, Romance, War","8,5",582 530,$1.02M
935,Le tombeau des lucioles,(1988),Tous publics,89 min,"Animation, Drama, War","8,5",,
936,Apocalypse Now,(1979),Tous publics avec avertissement,147 min,"Drama, Mystery, War","8,4",681 059,$83.47M
