ID,Nom,Année de sortie,Classification,Durée,Genre,Note,Nombre de votant,Revenus
358,Toy Story 3,(2010),Tous publics,103 min,"Animation, Adventure, Comedy","8,3",853 369,$415.00M
359,Taare Zameen Par,(2007),PG,165 min,"Drama, Family","8,3",197 652,$1.22M
360,Le Kid,(1921),Tous publics,68 min,"Comedy, Drama, Family","8,3",129 098,$5.45M
361,Le château ambulant,(2004),Tous publics,119 min,"Animation, Adventure, Family","8,2",410 497,$4.71M
362,Le Monde de Nemo,(2003),Tous publics,100 min,"Animation, Adventure, Comedy","8,2",1 064 492,$380.84M
363,La légende de Klaus,(2019),7,96 min,"Animation, Adventure, Comedy","8,2",,
364,Les enfants du ciel,(1997),Tous publics,89 min,"Drama, Family, Sport","8,2",76 569,$0.93M
365,Mon père et mon fils,(2005),Tous Public,112 min,"Drama, Family","8,2",,
366,Ratatouille,(2007),Tous publics,111 min,"Animation, Adventure, Comedy","8,1",763 898,$206.45M
367,Harry Potter et les Reliques de la Mort : partie 2,(2011),Tous publics,130 min,"Adventure, Family, Fantasy","8,1",898 557,$381.01M
368,Le magicien d'Oz,(1939),Tous publics,102 min,"Adventure, Family, Fantasy","8,1",409 654,$2.08M
369,Vice-versa,(I) (2015),Tous publics,95 min,"Animation, Adventure, Comedy","8,1",734 398,$356.46M
370,Monstres & Cie,(2001),Tous publics,92 min,"Animation, Adventure, Comedy","8,1",930 114,$289.92M
371,Dragons,(2010),Tous publics,98 min,"Animation, Action, Adventure","8,1",759 575,$217.58M
372,La mélodie du bonheur,(1965),Tous publics,172 min,"Biography, Drama, Family","8,1",244 080,$163.21M
373,Hatchi,(2009),Tous publics,93 min,"Biography, Drama, Family","8,1",,
374,Mon voisin Totoro,(1988),Tous publics,86 min,"Animation, Comedy, Family","8,1",351 604,$1.11M
375,Le géant de fer,(1999),Tous publics,86 min,"Animation, Action, Adventure","8,1",208 262,$23.16M
376,"Les enfants loups, Ame & Yuki",(2012),Tous publics,117 min,"Animation, Drama, Family","8,1",,
377,Chak De! India,(2007),,153 min,"Drama, Family, Sport","8,1",82 160,$1.11M
378,Le cirque,(1928),Tous publics,72 min,"Comedy, Family, Romance","8,1",,
379,Princess Bride,(1987),Tous publics,98 min,"Adventure, Comedy, Family","8,0",435 489,$30.86M
380,Les Indestructibles,(2004),Tous publics,115 min,"Animation, Action, Adventure","8,0",759 433,$261.44M
381,Zootopie,(2016),Tous publics,108 min,"Animation, Adventure, Comedy","8,0",515 017,$341.27M
