ID;Nom;Année de sortie;Classification;Durée (min);Genre1;Genre2;Genre3
624;Nashville;1975;Tous publics;160;Comedy; Drama; Music
625;Control;2007;Tous publics;122;Biography; Drama; Music
626;La Môme;2007;Tous publics;140;Biography; Drama; Music
627;Shine;1996;Tous publics;105;Biography; Drama; Music
628;Le violon rouge;1998;Tous publics;140;Drama; Music; Mystery
629;Tár;2022;Tous publics;158;Drama; Music;
630;La Pianiste;2001;16;131;Drama; Music;
631;Le Roi Lion;1994;Tous publics;88;Animation; Adventure; Drama
632;Hamilton;2020;12;160;Biography; Drama; History
633;Chantons sous la pluie;1952;Tous publics;103;Comedy; Musical; Romance
634;On ne vit qu'une seule fois;2011;;155;Comedy; Drama; Musical
635;Swades: Nous, le peuple;2004;;210;Drama; Musical;
636;Le magicien d'Oz;1939;Tous publics;102;Adventure; Family; Fantasy
637;La mélodie du bonheur;1965;Tous publics;172;Biography; Drama; Family
638;Lagaan;2001;Tous publics;224;Drama; Musical; Sport
639;Sholay;1975;;204;Action; Adventure; Comedy
640;Anand;1971;;122;Drama; Musical;
641;La La Land;2016;Tous publics;128;Comedy; Drama; Music
642;Aladdin;1992;Tous publics;90;Animation; Adventure; Comedy
643;La Belle et la Bête;1991;Tous publics;84;Animation; Family; Fantasy
644;Un violon sur le toit;1971;Tous publics;181;Drama; Family; Musical
645;Les Blues Brothers;1980;Tous publics;133;Action; Adventure; Comedy
646;L'étrange Noël de monsieur Jack;1993;Tous publics;76;Animation; Family; Fantasy
647;Dancer in the Dark;2000;Tous publics;140;Crime; Drama; Musical
648;New York masala;2003;Tous publics;186;Comedy; Drama; Musical
649;Willy Wonka au pays enchanté;1971;Tous publics;100;Family; Fantasy; Musical
650;Mary Poppins;1964;Tous publics;139;Comedy; Family; Fantasy
651;My Fair Lady;1964;Tous publics;170;Drama; Family; Musical
652;Cabaret;1972;Tous publics;124;Drama; Music; Musical
653;Que le spectacle commence...;1979;Tous publics;123;Drama; Music; Musical
654;Les parapluies de Cherbourg;1964;Tous publics;91;Drama; Musical; Romance
655;Soupe au canard;1933;Tous publics;69;Comedy; Musical;
656;Une nuit à l'opéra;1935;Tous publics;96;Comedy; Music; Musical
657;Veer-Zaara;2004;7;192;Drama; Family; Musical
658;Raiponce;2010;Tous publics;100;Animation; Adventure; Comedy
659;South Park, le film - Plus long, plus grand et pas coupé;1999;12;81;Animation; Comedy; Fantasy
660;Fantasia;1940;Tous publics;124;Animation; Family; Fantasy
661;Hedwig and the Angry Inch;2001;Tous publics;95;Comedy; Drama; Music
662;Noël chez les Muppets;1992;Tous publics;85;Comedy; Drama; Family
663;La petite sirène;1989;Tous publics;83;Animation; Adventure; Family
664;Vaiana : La Légende du bout du monde;2016;Tous publics;107;Animation; Adventure; Comedy
665;Pinocchio;2022;7;117;Animation; Drama; Family
666;Moulin Rouge;2001;Tous publics;127;Drama; Musical; Romance
667;Mulan;1998;Tous publics;87;Animation; Adventure; Comedy
668;West Side Story;1961;Tous publics;153;Crime; Drama; Musical
669;Le Livre de la jungle;1967;Tous publics;78;Animation; Adventure; Comedy
670;Blanche-Neige et les sept nains;1937;Tous publics;83;Animation; Adventure; Family
671;Les Muppets : Ça c'est du cinéma !;1979;Tous publics;95;Adventure; Comedy; Family
672;Baazigar;1993;;175;Crime; Drama; Musical
673;The Greatest Showman;2017;Tous publics;105;Biography; Drama; Musical
674;Les Misérables;2012;Tous publics;158;Drama; Musical; Romance
675;tick, tick... Boom!;2021;13;120;Biography; Comedy; Drama
676;Robin des Bois;1973;Tous publics;83;Animation; Adventure; Comedy
