ID;Nom;Année de sortie;Classification;Durée (min);Note;Nombre de votant;Revenus;Genre1;Genre2;Genre3
321;La ligne verte;1999;12;189;8,6;1 332 120;$136.80M;Crime; Drama; Fantasy
322;Seven;1995;12;127;8,6;1 693 649;$100.13M;Crime; Drama; Mystery
323;Le Silence des agneaux;1991;16;118;8,6;1 464 550;$130.74M;Crime; Drama; Thriller
324;Il faut sauver le soldat Ryan;1998;Tous publics avec avertissement;169;8,6;1 420 636;$216.54M;Drama; War;
325;La cité de Dieu;2002;16;130;8,6;769 658;$7.56M;Crime; Drama;
326;La vie est belle;1997;Tous publics;116;8,6;709 849;$57.60M;Comedy; Drama; Romance
327;Les 7 Samouraïs;1954;Tous publics;207;8,6;352 241;$0.27M;Action; Drama;
328;La vie est belle;1946;Tous publics;130;8,6;;;Drama; Family; Fantasy
329;Harakiri;1962;Tous publics;133;8,6;;;Action; Drama; Mystery
330;Sita Ramam;2022;;163;8,6;;;Action; Drama; Mystery
331;Léon;1994;12;110;8,5;1 186 803;$19.50M;Action; Crime; Drama
332;Parasite;2019;Tous publics avec avertissement;132;8,5;850 664;$53.37M;Drama; Thriller;
333;Les infiltrés;2006;Tous publics avec avertissement;151;8,5;1 353 433;$132.38M;Crime; Drama; Thriller
334;Gladiator;2000;Tous publics avec avertissement;155;8,5;1 533 090;$187.71M;Action; Adventure; Drama
335;Whiplash;2014;Tous publics;106;8,5;901 237;$13.09M;Drama; Music;
336;Le Prestige;2006;Tous publics;130;8,5;1 361 706;$53.09M;Drama; Mystery; Sci-Fi
337;Le Roi Lion;1994;Tous publics;88;8,5;1 082 777;$422.78M;Animation; Adventure; Drama
338;Usual Suspects;1995;Tous publics;106;8,5;1 102 763;$23.34M;Crime; Drama; Mystery
339;Le pianiste;2002;Tous publics;150;8,5;853 992;$32.57M;Biography; Drama; Music
340;American History X;1998;12;119;8,5;1 141 545;$6.72M;Crime; Drama;
341;Intouchables;2011;Tous publics;112;8,5;879 758;$13.18M;Biography; Comedy; Drama
342;Casablanca;1942;Tous publics;102;8,5;582 530;$1.02M;Drama; Romance; War
343;Le tombeau des lucioles;1988;Tous publics;89;8,5;;;Animation; Drama; War
344;Cinéma Paradiso;1988;Tous publics;155;8,5;267 863;$11.99M;Drama; Romance;
345;Les temps modernes;1936;Tous publics;87;8,5;247 883;$0.16M;Comedy; Drama; Romance
346;Les lumières de la ville;1931;Tous publics;87;8,5;188 279;$0.02M;Comedy; Drama; Romance
347;96;2018;Tous publics;158;8,5;;;Drama; Romance;
348;Avengers: Endgame;2019;Tous publics;181;8,4;1 175 410;$858.37M;Action; Adventure; Drama
349;Joker;2019;12 avec avertissement;122;8,4;1 349 046;$335.45M;Crime; Drama; Thriller
